path,t_start,t_end,duration,f_low,f_high,center_freq,stage_a_conf,completeness_score,completeness_label,retained,n_members
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,21.64879975318909,22.94675434223811,1.29795458904902,4806.4393401145935,9130.135014653206,6968.2871773839,0.936845600605011,0.998501181602478,complete,true,5
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,30.850749440193177,32.15986182848612,1.3091123882929452,4858.509063720703,9282.912969589232,7070.711016654968,0.938222110271454,0.9984444975852966,complete,true,1
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,30.858966510534287,32.16500492119789,1.3060384106636036,4862.8580421209335,9282.167091965675,7072.512567043304,0.9380846619606018,0.9987897276878356,complete,true,1
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,30.861555335998535,32.101333333333336,1.2397779973348015,4868.610709905624,9277.833312749864,7073.2220113277435,0.9370774626731871,0.9999898672103882,complete,true,1
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,31.40289152797063,32.16572191890081,0.7628303909301763,5045.1230853796005,8511.711493134499,6778.41728925705,0.9378191828727722,0.9997698664665222,complete,true,1
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,38.896056349436435,40.25050919151306,1.3544528420766255,4818.165734410286,9245.132490992546,7031.649112701416,0.9325880408287048,0.998256504535675,complete,true,1
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,38.90017393708229,40.25342732787132,1.3532533907890285,4812.673464417458,9245.332762598991,7029.0031135082245,0.932684600353241,0.9992272853851318,complete,true,1
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,38.91207227977117,40.248094435056046,1.33602215528488,4821.713626384735,9283.528983592989,7052.621304988861,0.9311098456382751,0.9957947731018066,complete,true,1
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,39.59466666666667,40.267559289217,0.6728926225503287,4978.367932140827,8446.935586631298,6712.651759386063,0.9262834191322328,0.9893711805343628,complete,true,1
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,49.00833758449554,50.2356156835556,1.227278099060058,5081.214666366577,9198.413103818892,7139.813885092735,0.9320290088653564,0.9999051094055176,complete,true,5
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,58.60459083239237,59.869469637870786,1.2648788054784177,4622.094020247459,9233.66828262806,6927.881151437759,0.9392815232276917,0.999896764755249,complete,true,1
